question,explanation_a__score,explanation_a__reason,explanation_b__score,explanation_b__reason
what is this newly discovered state of matter called supersolid?,0.02033235341686262,"The passage describes the concept of a 'supersolid' using technical terminology without employing active metaphorical language. The explanation of supersolids relies on literal descriptions of physical properties and scientific phenomena, such as the arrangement of atoms and the behavior of matter at low temperatures, rather than non-literal conceptual framing. The use of terms like 'supersolid' and 'superfluid' are standard in the context of quantum physics and do not introduce a novel domain shift or figurative language.",0.6791786926816161,"The passage uses an active metaphor by describing supersolids as 'like a superhero of states of matter,' which introduces a novel, expressive, and domain-shifting figurative framing. This comparison changes how the concept of supersolids is understood by attributing them with extraordinary abilities, akin to a superhero, thus meeting the criteria for an active metaphor."
"is there a triple-point with plasma? normally it is with solid, liquid, and gas, but is there one with, say, liquid, gas, and plasma?",0.0,"The passage provides a literal explanation of thermodynamic concepts such as triple and quadruple points without employing any non-literal or figurative language. It describes scientific phenomena in a straightforward manner, lacking any active metaphorical framing or domain shift.",0.0,"The passage provides a literal explanation of the concept of a triple point and plasma, without employing any non-literal conceptual framing or domain shift. It describes scientific principles in a straightforward manner, lacking any active metaphorical language."
where do air planes dump their fuel for emergency landings?,0.5621765008857981,"The passage uses an active metaphor by describing the fuel jettison system as a 'safety valve,' which introduces a non-literal conceptual framing. This metaphor changes how the system is understood by comparing it to a mechanism that releases pressure, highlighting its role in emergency situations. The metaphor involves a domain shift from mechanical systems to aviation safety, making it an active metaphor.",0.0,"The passage provides a literal explanation of emergency procedures for aircraft, including fuel dumping. It does not employ any non-literal conceptual framing or domain shift that would qualify as an active metaphor. The language is straightforward and descriptive, focusing on factual information about aviation practices."
how different would i be if a different sperm reached the egg instead of mine?,0.0,The passage provides a literal explanation of genetic contribution and its effects on individual traits. It does not employ non-literal conceptual framing or domain shifts that would qualify as an active metaphor. The description remains within the realm of biological processes and does not introduce figurative language that alters understanding through metaphorical means.,0.0,The passage provides a literal explanation of genetic inheritance and does not employ any non-literal conceptual framing or domain shift. It describes the biological process of fertilization and the resulting genetic differences without using metaphorical language.
"how long would we last if the sun went out, just hours or days?",0.0,"The passage provides a literal and scientific explanation of the consequences if the Sun were to go out, without employing any non-literal conceptual framing or domain shift. It describes the physical processes and outcomes in a straightforward manner, without using metaphorical language.",0.0,"The passage provides a literal and scientific explanation of the consequences if the Sun were to go out, without employing any non-literal conceptual framing or domain shift. It describes the physical and environmental changes in a straightforward manner, lacking any active metaphorical language."
"if there's acid rain, is there such thing as acid snow?",0.5926665999540698,"The passage uses a metaphorical analogy by comparing the atmosphere to a 'giant mixing bowl' and the process of pollutants dissolving in water to sugar dissolving in water. This introduces a novel, domain-shifting figurative framing that changes how the atmospheric process is understood, fulfilling the criteria for an active metaphor.",0.0,"The passage provides a literal explanation of acid snow, describing its formation and effects without using non-literal or figurative language. It does not employ any active metaphors or domain shifts, and the content can be fully understood in a literal context."
"if venus' atmosphere is the same density as the ocean at 1km of depth, then could you ""swim"" through the venusian atmosphere?",0.0,"The passage does not contain an active metaphor. It provides a literal explanation of why swimming through Venus' atmosphere is impossible, focusing on scientific facts about atmospheric composition, pressure, and temperature. There is no non-literal conceptual framing or domain shift present.",0.0,"The passage does not contain an active metaphor. The comparison between the density of Venus' atmosphere and the ocean is literal and factual, not figurative. The text explains why swimming is not possible in Venus' atmosphere, focusing on literal differences in composition and conditions, without employing non-literal conceptual framing or domain shifts."
why exactly is speed of light speed limit?,0.6224593312018546,"The passage uses an active metaphor by comparing the speed of light to a 'cosmic speed limit,' which is a non-literal conceptual framing. This metaphor changes how the concept of the speed of light is understood by likening it to a familiar concept of a road speed limit, thus introducing a domain shift from traffic laws to physics. The metaphor is not idiomatic or frozen, as it creatively applies the idea of a speed limit to the cosmic scale, making it an active metaphor.",0.0,"The passage provides a literal explanation of the speed of light as a universal speed limit based on the theory of relativity. It does not employ non-literal conceptual framing or domain shifts that would qualify as an active metaphor. The terms used, such as 'time dilation' and 'mass-energy equivalence,' are standard technical terminology in physics and do not introduce novel or figurative language."
"what is the relationship between intelligence and mental illness? are people ""too smart for their own good""?",0.0,The passage does not contain an active metaphor. It discusses the relationship between intelligence and mental illness in a literal and descriptive manner without employing non-literal conceptual framing or domain shifts. The phrase 'too smart for their own good' is a conventional expression and does not introduce a novel or domain-shifting metaphorical framing.,0.0,"The passage does not contain an active metaphor. It discusses the relationship between intelligence and mental health in a literal and straightforward manner, without employing non-literal conceptual framing or domain shifts. The phrase 'intelligent but troubled' is a descriptive label rather than a metaphorical expression."
can the higgs field be manipulated?,0.946596671895044,"The passage uses an active metaphor by describing the Higgs field as 'cosmic invisible molasses,' which is a non-literal conceptual framing that changes how the Higgs field is understood. This metaphor introduces a novel domain shift by comparing a complex scientific concept to a tangible, viscous substance, thereby altering the reader's perception of how particles acquire mass. The metaphor is not idiomatic or frozen, and it cannot be interpreted literally without losing its intended meaning.",0.1645164608483867,"The passage uses a simile to compare manipulating the Higgs field to manipulating a magnetic field with a magnet. However, this comparison does not introduce a novel or domain-shifting figurative framing. The simile serves as a neutral explanation rather than an active metaphor, as it does not change how the target concept is understood or evaluated. The passage remains largely literal and descriptive, focusing on scientific explanations without invoking a non-literal conceptual framing."
"if dirt on earth is called ""earth"", what is dirt on mars called?",0.0,"The passage provides a literal explanation of the term 'regolith' as it applies to Mars, without employing any non-literal conceptual framing or domain shift. The description is factual and does not rely on metaphorical language.",0.0,"The passage provides a literal explanation of regolith on Mars, comparing it to dirt on Earth without introducing a non-literal conceptual framing or domain shift. The use of 'think of regolith on Mars as the equivalent of dirt on Earth' is a straightforward analogy rather than an active metaphor, as it does not change the understanding of the concept in a novel or figurative way."
how does the international space station get continuous supply of oxygen for the crew?,0.015906394627483913,"The passage uses a simile 'Imagine the ISS like a giant house in space' and 'Think of it like a high-tech machine,' but these are not active metaphors as they do not introduce a novel domain shift or non-literal conceptual framing. The descriptions are straightforward analogies to aid understanding, not metaphors that change the conceptual understanding of the ISS or its systems.",0.0,"The passage provides a literal description of the oxygen recycling system on the ISS, detailing the Sabatier reaction and the use of oxygen tanks. There is no non-literal conceptual framing or domain shift present, and the language is purely technical and descriptive."
how does toothpaste affect the microbial flora of the mouth?,0.0,"The passage provides a literal explanation of the effects of toothpaste on oral health, without employing any non-literal conceptual framing or domain shift. It describes the chemical and biological interactions in a straightforward manner, lacking any active metaphorical language.",1.0,"The passage uses an active metaphor by framing the mouth as a bustling city and toothpaste as a cleaning crew, which is a non-literal conceptual framing that changes how the target concept (oral hygiene) is understood. The metaphor is novel due to the domain shift from urban life to oral health, and it cannot be interpreted literally without losing its intended meaning. The use of superhero imagery further enhances the metaphorical framing, making it an active metaphor."
could humans survive in a 21% oxygen atmosphere at a similar pressure to earth's if 78% of the atmosphere was a gas other than nitrogen?,0.0,"The passage provides a literal explanation of atmospheric conditions and human survival without employing any non-literal conceptual framing or domain shift. It lacks any active metaphorical language, as it focuses on factual information about oxygen levels and atmospheric pressure.",0.06008665248830214,"The passage uses a simile ('Imagine Earth's atmosphere as a delicate recipe') but does not introduce a novel or domain-shifting metaphor. The comparison is straightforward and does not alter the understanding of the target concept in a non-literal way. The rest of the passage is a literal explanation of atmospheric composition and its effects on human survival, which does not meet the criteria for an active metaphor."
"what is the best way to play the lottery, scientifically?",0.0,The passage does not contain an active metaphor. The comparison of playing the lottery to flipping a coin is a straightforward analogy that does not introduce a novel or domain-shifting figurative framing. It serves as a literal explanation of probability rather than a metaphorical one.,0.0,"The passage provides practical advice on choosing lottery numbers, which is purely literal and lacks any non-literal conceptual framing or domain shift. It does not contain any active metaphors or figurative language."
"an escalator moves at the same speed whether it's empty or has a lot of people on it. how does the motor ""know"" to change its power output?",0.05340332979982423,"The passage uses a literal explanation of how an escalator motor and control system work, with an analogy comparing it to a car engine and cruise control. The analogy is used for clarification, not as a novel or domain-shifting metaphor. The description is technical and literal, with no non-literal conceptual framing that changes understanding, thus not meeting the criteria for an active metaphor.",0.04208772626352765,"The passage uses a simile to compare the escalator motor to a smart machine and a backpack, but it does not introduce a novel, non-literal conceptual framing that changes the understanding of the motor's function. The description remains literal and technical, explaining the motor's operation through sensors and feedback loops without invoking a domain shift or active metaphor."
what is the benefit of leaded gasoline in cars?,0.0,"The passage provides a factual and literal description of the history and impact of leaded gasoline, with no use of non-literal conceptual framing or domain shift. It does not contain any active metaphors or figurative language.",0.0,"The passage provides a literal and technical explanation of leaded gasoline and its effects, without employing any non-literal conceptual framing or active metaphor. The description of engine knocking and the transition to unleaded gasoline is straightforward and lacks figurative language."
why doesn't the integral from 0 to infinity of sinx dx equal zero?,0.4687906266262437,"The passage uses a simile to explain the concept of integrating sin(x) by comparing it to a roller coaster ride. However, this is not an active metaphor as it does not involve a novel domain shift or non-literal conceptual framing that changes the understanding of the target concept. The explanation remains largely literal and descriptive, focusing on the mathematical properties of the function rather than employing a metaphorical framework.",0.731058584489497,"The passage uses an active metaphor by comparing the sine curve to a seesaw, which introduces a non-literal conceptual framing. This metaphor changes how the integration process is understood by using the domain of a seesaw to explain the oscillation and cancellation of areas under the curve. The metaphor is novel due to the domain shift from mathematical functions to a physical object, fulfilling the criteria for an active metaphor."
is converting water to steam to turn a turbine really still the most efficient way to generate electricity?,0.0,"The passage provides a literal and technical description of steam turbine power generation and its comparison to renewable energy sources. It does not employ any non-literal conceptual framing or domain shift that would qualify as an active metaphor. The language is straightforward and descriptive, focusing on factual information about energy conversion processes.",0.0,"The passage provides a literal explanation of electricity generation methods, comparing efficiencies of different technologies without using non-literal or figurative language. There is no active metaphor or domain shift present, as the text remains within a technical and factual context."
"why do people enjoy spicy food? we can all agree it burns, but why do some people (including me) enjoy that pain?",0.0,"The passage provides a literal explanation of why people enjoy spicy food, focusing on biological, psychological, and cultural factors. It does not employ non-literal conceptual framing or domain shifts that would qualify as an active metaphor. The terms used, such as 'spicy high' and 'reward system,' are standard expressions in their respective contexts and do not introduce novel metaphorical language.",0.14804719615221756,The passage describes the physiological and chemical reactions to capsaicin in a literal manner. The use of 'tricks our brains into thinking our mouth is actually burning' is a common expression and does not introduce a novel domain shift or non-literal conceptual framing. The explanation remains within the realm of literal scientific explanation without invoking an active metaphor.
is 4/4 timing the most popular time signature in all cultures?,0.2227001439842336,"The passage uses analogies to explain time signatures in music, comparing them to rhythm and dance, but these are not active metaphors. The comparisons are straightforward and do not involve a novel domain shift or non-literal conceptual framing. The use of 'like' indicates a simile rather than a metaphor, and the explanations can be understood literally without invoking a source domain. Therefore, the passage does not meet the criteria for an active metaphor.",0.9706877702556035,"The passage uses active metaphors by employing non-literal conceptual framing to describe musical concepts. It compares time signatures to a conductor's baton and a secret code, which changes how these musical elements are understood. The passage also uses domain shifts, such as comparing 4/4 timing to a heartbeat and a well-oiled machine, and different time signatures to cuisines and dances, which are not conventional uses. These elements meet the criteria for active metaphors."
why can't we perform a pancreas transplant for those with diabetes?,1.0,"The passage uses an active metaphor by comparing the pancreas to a master chef in a busy kitchen, which is a non-literal conceptual framing. This metaphor changes how the pancreas is understood by attributing human-like qualities and actions to it, such as 'whipping up hormones' and 'learning the menu.' The metaphor is novel due to the domain shift from culinary arts to biological function, and it cannot be interpreted literally without losing its intended meaning.",1.0,"The passage uses an active metaphor by framing the pancreas as a 'master chef' in a kitchen, which is a non-literal conceptual framing that changes how the pancreas's function is understood. The metaphor extends to describe the immune system as a 'security team,' introducing a novel domain shift from culinary and security domains to biological processes. This framing is not idiomatic or frozen, and the meaning cannot be preserved under a literal reading, fulfilling the criteria for an active metaphor."
is it more efficient to dry clothes on high?,0.7549149923816049,"The passage uses an active metaphor by comparing drying clothes to squeezing a sponge and drying a towel over a flame. These comparisons introduce a non-literal conceptual framing that changes how the drying process is understood, highlighting the effects of heat on fabric. The metaphorical analogy with the sponge and flame provides a novel, domain-shifting perspective, making it an active metaphor.",0.9399133561377042,"The passage uses an active metaphor by comparing the drying process of clothes in a dryer to towels drying in sunlight and shade, and further extends this metaphor by likening high heat drying to placing a delicate flower in a hot oven. This non-literal conceptual framing changes how the drying process is understood, making it an active metaphor with a clear domain shift from natural drying to mechanical drying."
"if photons travel along waves with varying frequencies, but these waves all traverse distance at the same speed (c), then are the photons in higher frequency waves, which would be longer, traveling faster?",0.8933094103149356,"The passage uses an active metaphor by comparing photons and their frequencies to people dancing to different songs with varying beats per minute. This non-literal conceptual framing changes how the target concept of photon frequency is understood, using the domain of music and dance to explain the scientific concept. The metaphor is novel due to the domain shift from physics to music, and it cannot be interpreted literally without losing the intended meaning.",0.8670357460591568,"The passage uses an active metaphor by comparing photons with people dancing to different songs and friends running on a track, introducing a non-literal conceptual framing. This metaphor changes how the concept of photon frequency and wavelength is understood by using the domain of music and running, which is not conventionally used in physics. The metaphor is novel due to the domain shift and cannot be interpreted literally without losing its intended meaning."
how deep is the sand of the sahara desert?,0.5926665999540698,"The passage uses an active metaphor by framing the Sahara Desert as a 'giant sandbox,' which is a non-literal conceptual framing that changes how the desert is understood. This metaphor is novel due to the domain shift from a child's sandbox to the vastness of the Sahara, altering the perception of the desert's sand depth. The metaphor is not idiomatic or frozen, and the description cannot be interpreted fully literally without losing the intended imagery and conceptual shift.",0.7549149813536518,"The passage uses active metaphors by framing the Sahara Desert as a 'giant sandbox' and the process of sedimentation as a 'never-ending sandcastle building competition.' These metaphors introduce a non-literal conceptual framing that changes how the desert and sedimentation are understood, fulfilling the criteria for active metaphors. The metaphors are novel due to the domain shift from literal desert descriptions to playful imagery, and they cannot be interpreted literally without losing their intended meaning."
"when food packaging says it has x amount of calories, is that the amount of calories in the food, or the typical amount absorbed by the body?",0.8807970811069351,"The passage uses an active metaphor by comparing calories to fuel for a car's engine, introducing a non-literal conceptual framing that changes how the concept of calories is understood. This metaphor is not idiomatic or frozen, as it involves a domain shift from automotive to biological energy, making it novel and expressive. Additionally, the analogy of the body as a filter absorbing water from a bucket further supports the metaphorical framing, enhancing the understanding of calorie absorption.",0.9579122767402743,"The passage uses an active metaphor by comparing calories to bricks in a building, which is a non-literal conceptual framing that changes how the concept of calories is understood. This metaphor introduces a domain shift from nutrition to construction, making it novel and expressive. The comparison of the body to a filter further supports the metaphorical framing, as it is not a literal description. The passage cannot be interpreted fully literally without losing its intended meaning, confirming the presence of an active metaphor."
"what happens in the brain when a music album ""grows"" on you?",1.0,"The passage uses active metaphors by framing the brain as a bustling city, with neighborhoods representing different functions. This non-literal conceptual framing changes how the brain's adaptation to new music is understood, using domain shifts such as streets, shops, and highways to describe neural processes. The metaphors are novel and not idiomatic, as they creatively link urban development to neuroplasticity, fulfilling the criteria for active metaphors.",1.0,"The passage uses an active metaphor by framing the brain as a bustling city, with neighborhoods representing different functions, and the process of listening to music as building roads and infrastructure. This non-literal conceptual framing changes how the brain's adaptation to music is understood, introducing a novel domain shift from urban planning to neural plasticity. The metaphor is not idiomatic or frozen, and the meaning cannot be preserved under a literal reading, fulfilling the criteria for an active metaphor."
"what happens in our brains when we are very tired, ""exhausted"" or ""burned out""?",1.0,"The passage uses an active metaphor by framing the brain as a bustling city, with various districts and systems representing different cognitive functions. This non-literal conceptual framing changes how the brain's functions are understood, using a domain shift from urban infrastructure to mental processes. The metaphor is novel and not idiomatic, as it creatively maps city elements to brain activities, such as traffic jams representing mental fatigue and power grids symbolizing energy levels. The passage cannot be interpreted literally without losing its intended meaning, confirming its status as an active metaphor.",1.0,"The passage uses an active metaphor by framing the brain as a bustling city with districts, creating a non-literal conceptual framing that changes how brain functions are understood. The metaphor is novel due to the domain shift from urban infrastructure to cognitive processes, and it cannot be interpreted literally without losing meaning. The use of traffic jams and power grid strain further enhances the metaphorical framing, making it a clear example of active metaphorical language."
"if a proton is one down and two up quarks, and a neutron is two down and one up quarks, then how does combining a proton with an electron (a lepton) make a neutron? is the lepton somehow turned into a down quark?",0.8807970764133563,"The passage uses active metaphors by employing a domain shift from physics to a familiar concept of LEGO bricks to explain quarks and their interactions. The metaphorical framing changes how the target concept is understood, as it uses the non-literal concept of LEGO structures to describe the composition of protons and neutrons. Additionally, the transformation of an electron into a down quark is likened to a caterpillar turning into a butterfly, further reinforcing the non-literal conceptual framing.",1.0,"The passage uses an active metaphor by framing quarks and their interactions in terms of a toolbox and screws, which is a non-literal conceptual framing. This metaphor changes how the target concept of particle interactions is understood by using a domain shift from particle physics to a more tangible, everyday scenario involving toolboxes and screws. The metaphor is novel and not a conventional idiom, as it creatively uses the idea of a toolbox to explain the interaction between protons, electrons, and neutrons, thus meeting the criteria for an active metaphor."
"eating before going to sleep, does it make a difference in how you process the calories?",0.9324533135530546,"The passage uses an active metaphor by comparing the body's metabolism during sleep to a car engine that is idle when parked. This non-literal conceptual framing changes how the target concept of metabolism is understood, highlighting the inefficiency of calorie burning during sleep. The metaphor introduces a domain shift from automotive mechanics to human physiology, making it an active metaphor.",1.0,"The passage uses an active metaphor by framing the body's metabolic processes as a construction site, with enzymes as workers and calories as materials. This non-literal conceptual framing changes how the target concept of metabolism is understood, highlighting the disruption caused by eating late at night. The metaphor is novel due to the domain shift from construction to biological processes, and it cannot be interpreted literally without losing its intended meaning."
how do chimpanzees develop so much muscle on a diet of mostly fruit?,1.0,"The passage contains active metaphors with clear domain shifts. The chimpanzee is metaphorically described as a 'master builder,' and its diet is likened to 'building blocks' and 'blueprints' for muscle growth, which are non-literal framings. The comparison of nutrients to a 'construction crew' and the body to a 'well-oiled machine' further supports the active metaphorical framing, altering the understanding of muscle development in a novel way.",0.7981867729389247,"The passage uses active metaphors by framing chimpanzees as 'master builders' and comparing their dietary adaptation to a 'puzzle piece' and a 'culinary masterpiece.' These metaphors involve a domain shift, as they apply construction and culinary domains to biological adaptation, altering the understanding of chimpanzee nutrition and muscle development. The metaphors are not idiomatic or frozen, and the passage cannot be interpreted fully literally without losing its intended meaning."
how is a fighter jet engine different from a commercial jet engine?,0.4687906266262437,"The passage uses analogies comparing fighter jet engines to sprinters and commercial jet engines to marathon runners, but these are not active metaphors. The comparisons are straightforward analogies that do not introduce novel or domain-shifting figurative framing. The language is descriptive and does not rely on non-literal conceptual framing that changes understanding of the target concepts. Therefore, it does not meet the criteria for an active metaphor.",0.8175744739711884,"The passage uses active metaphors by comparing fighter jet engines to high-performance sports cars and commercial jet engines to comfortable family sedans. This non-literal conceptual framing changes how the engines are understood by highlighting their different purposes and characteristics. The metaphors are novel due to the domain shift from automotive to aviation, and the comparisons are not idiomatic or frozen expressions. The passage cannot be interpreted fully literally without losing the intended meaning, confirming the presence of active metaphors."
why is it necessary that i completely finish my antibiotics when the symptoms abate halfway through the prescription?,1.0,"The passage uses an active metaphor by framing the body as a city under siege by invaders, with antibiotics as superheroes. This non-literal conceptual framing changes how the process of taking antibiotics is understood, emphasizing the importance of completing the full course. The metaphor is novel due to the domain shift from medical treatment to a city under siege, making it an active metaphor.",0.9999999999999998,"The passage uses an active metaphor by framing the immune system and antibiotics as a city's defense team and a special task force, respectively, in a non-literal way. This conceptual framing changes how the immune system's function and the role of antibiotics are understood, making it an active metaphor. The use of a city under attack by invaders to describe the body's response to bacteria involves a clear domain shift, enhancing the metaphor's novelty and expressiveness."
how does one measure the thickness of gold foil?,0.3775406687981454,"The passage uses analogies to explain how a micrometer works, comparing it to a ruler, tweezers, and tightrope walking. However, these comparisons are straightforward and do not introduce a novel or domain-shifting figurative framing. The analogies serve as neutral explanations rather than active metaphors, as they do not change the conceptual understanding of the micrometer in a non-literal way.",0.6224593382055109,"The passage uses active metaphors by comparing the thin layer of gold to delicate petals of a flower and the micrometer to a super-accurate ruler, which are non-literal conceptual framings. Additionally, the analogy of fitting a puzzle piece and counting pancakes introduces novel, expressive, and domain-shifting figurative framing, altering the understanding of the measurement process."
"when you build a tolerance to alcohol, does your body get better at removing it, better at functioning with it, or just better at not feeling it?",1.0,"The passage uses active metaphors by framing the body's processing of alcohol as a recycling center and a skilled bartender, which are non-literal conceptual framings. These metaphors introduce a domain shift by comparing biological processes to recycling and bartending, altering the understanding of alcohol tolerance. The metaphors are not idiomatic or frozen, and the meaning cannot be preserved under a literal reading, fulfilling the criteria for active metaphors.",1.0,"The passage uses an active metaphor by comparing the body's response to alcohol to a bouncer managing a party, which is a non-literal conceptual framing. This metaphor is novel due to the domain shift from social interaction to biological processes, altering the understanding of alcohol tolerance. The metaphor is not idiomatic or frozen, and the meaning cannot be preserved under a literal reading, fulfilling the criteria for an active metaphor."
do dead insects “go bad” for other insects that eat them such as spiders?,0.9525741227833249,"The passage uses active metaphors by framing insects as residents of a city and their bodies as grocery stores, introducing a novel domain shift. The comparison of dead insects to closed stores and decomposition to a recycling center changes the understanding of these biological processes. The metaphorical analogy of spiders as picky eaters further supports the non-literal conceptual framing, making the metaphors active and aligned with the evaluation criteria.",0.6224593382055109,"The passage uses active metaphors by framing the insect ecosystem as a 'bustling city' and comparing the process of insects feeding on dead insects to 'recycling.' These metaphors introduce a non-literal conceptual framing that changes how the insect world is understood, highlighting the interconnectedness and cyclical nature of life and death. The metaphorical language is novel and involves a domain shift, as it applies urban and environmental concepts to the insect world, which is not a conventional usage."
why do i unconsciously emulate the accent of those around me?,0.9890130590796806,"The passage uses an active metaphor by describing the brain as a 'sponge' soaking up linguistic flavors, which is a non-literal conceptual framing that changes how the brain's function in phonetic convergence is understood. This metaphor introduces a novel domain shift by comparing the brain's adaptive function to a sponge's absorption, which is not a conventional or idiomatic expression. Additionally, the analogy of a 'game of linguistic telephone' further supports the active metaphor by providing a novel, expressive framing of how speech patterns influence each other.",0.9669140219688265,"The passage contains an active metaphor by describing linguistic accommodation as 'a silent game of mimicry' and 'a harmonious symphony of speech,' which involves a non-literal conceptual framing that changes how the target concept is understood. The metaphorical language introduces a novel domain shift by comparing speech adaptation to a game and a symphony, which are not conventional domains for discussing linguistic behavior. This framing alters the understanding of the concept, making it an active metaphor."
"how do fish heal underwater? why don't they bleed to death? also, are there less infections for underwater cuts?",0.92414182050107,"The passage uses active metaphors by framing the biological process of fish healing as a 'tiny repair crew' and 'construction workers,' which is a non-literal conceptual framing. The metaphorical analogy of 'a fish's version of a Band-Aid' further supports the active metaphor status. These metaphors introduce a novel domain shift by comparing biological processes to human activities, altering the understanding of the healing process in fish.",0.982013790005009,"The passage uses active metaphors by framing the fish's body as a 'well-oiled machine' and its repair system as 'a team of tiny, underwater construction workers,' which introduces a non-literal conceptual framing. The metaphorical language changes how the biological processes are understood, using domain shifts from mechanics and construction to biology. The use of 'superhero' for fibrinogen further exemplifies an active metaphor, enhancing the understanding of its function in a novel way. These elements meet the criteria for active metaphors, as they are not conventional or idiomatic expressions and cannot be interpreted literally without loss of meaning."
