	Question
50	why do desert tortoises release all bodily fluids when they're nervous/scared when water is scarce in the desert?
51	why do people appear to not be bleeding in images/videos of surgeries in progress?
52	is the earth charged (positively or negatively) or is it completely neutral?
53	how does a jet know that its locked on?
54	is there an economic mechanism that prevents a few entities from acquiring all of the housing and renting it out?
55	is the statement "even neuroscientists can’t tell if an individual brain belongs to a man or woman." true?
56	what are the leading explanations for the widespread occurrence of zipf's law, or more broadly pareto distributions?
57	which has a greater surface area per equal volume? sphere or torus?
58	what keeps the atoms in my finger from mixing with those in the keys of my keyboard? and why doesn't this effect apply when i press two broken halves together really hard?
59	how can we can have motion relative to the cmb if it is observed from all directions?
60	i was watching a program about marine life and they mentioned that "a sea urchin is brainless like many other species on the reef". what does it have instead of a brain and how does this work?
61	what is this newly discovered state of matter called supersolid?
62	why does the ula delta 4 heavy use an asymmetrical engine startup?
63	does the human sinus cavity hold pressure?
64	does having my blackberry 6 inches from my balls 12-15 hours a day have any adverse effects to my body?
65	question about relativity on a trip to alpha centauri?
66	does someone who is "in shape" run a mile using less atp than someone who is not "in shape"? why?
67	is there complex angles? and is there application for them?
68	if muscle building is just the micro tears and repairs of muscle fibers, is it possible to do this with lasers or radiation to build muscles without working out? if so, why hasn't anyone invented a way to do this yet?
69	structure formation in miso soup?
70	if i had a 10 mile long wood 2x4, suspended in space, with no other forces acting on it, and i gave it a shove, to move it 1 meter in a very short time interval, would it take time for the opposite side to move as well?
71	why do humans seek revenge?
72	would you still be able to see if your eye fell out of its socket? not so any of the 'cables' were snapped but if the eyeball was just out?
73	when i eat seafood or other things cooked whole (lobsters, octopus, crabs), why can't i identify any organs?
74	do giraffes vomit?
75	if i drew a random scribble on a set of axis, will there always be an equation to define it?
76	does an amputee's necessary daily caloric intake lower? what about a paraplegic?
77	ligo gravitational observatory and nuclear bombs?
78	how are the values for electro-negativity determined?
79	what is a lagrangian? what is the action? why does the principle of least (stationary) action work?
80	now that parts of the voynich manuscript has been decoded (presumably) is it just a matter of time before the whole manuscript is decoded?
81	how does a meta material of silver and silicon nitride interact with light so that the phase velocity becomes zero?
82	when a small body of water dries up, where do the aquatic animals go?
83	how can a paper cup full of water not burn up on a 2400 degree billet of steel?
84	joey chestnut ate 70 hotdogs in 10 minute today. what is your bodies reaction to 19,600 calories in that short of timespan?
85	why are a bodybuilder's muscles "useless" compared to a powerlifter's?
86	how do we account for the gain/loss of time in a day due to earthquakes and tectonic activity?
87	what makes the electron shells of the atoms between scandium and zinc seem to go haywire, while suddenly regaining a stable outer shell increase from gallium to krypton? why does this pattern repeat throughout the periods?
88	does fatigue or hunger affect how we perceive other people's physical attributes?
89	why do we never hear about people getting sepsis from hemorrhoids or anal fissures?
90	is my physics teacher correct on this fact?
91	if a jar of different sized balls was shaken, which size would be at the bottom?
92	which is more ideal for the human body to inhabit; a planet with 0.5g or 1.5g?
93	why are our brains so high up in our bodies?
94	is there a certain amount of "real estate" at the a given lagrangian point? could we potentially put too many stations, observatories, or other spacecraft there and run out of room?
95	if a human needs 2000 calories per day, could a human be said to run on 96 watts?
96	what is the maximum operating altitude of a bumblebee?
97	how does marijuana/thc effect sleep architecture?
98	when there is a high load on an electrical grid, why can't we just let the frequency drop (eg 50 - > 45 hz) and then recover later, rather then requiring rolling blackouts / load shedding?
99	what would happen to harvey dent's face in real life over time?
100	what would happen if someone swallowed super glue?
101	what base are the roman numbers?
102	how do birds that swallow an entire fish in one gulp avoid getting cut by the fins?
103	could the bird actually be helping the dog on purpose, suggesting a symbiotic relationship, or is it a coincidence and we're just projecting it?
104	portuguese man o' wars are a collection of organisms that function as one entity. how do they come together to begin with?
105	is it counterproductive to, for example, use only a sensitive skin laundry detergent for our newborn instead of just using what we've always used?
106	my 5th grader needs an expert for her report. can i post her q`s about plastic?
107	if you had one molecule of water, how would you determine its state?
108	how far do you have to go beneath the ocean floor before the earth becomes dry again?
109	if i was deposited somewhere in the milky way, is there an easy way to figure out how to get back to earth?
110	is everyday the same rainy day globally?
111	how do we know that the laws of physics are constant?
112	what would an apple look like at absolute zero?
113	rosetta implications - other life forms in space?
114	how deep can you dig a hole on the moon with a shovel?
115	what are the squiggly eye floater things you see and why do you see them?
116	if i flip a coin. tails i stop and heads i flip again. what will be the average coin flip before i stop?
117	do oscillations truly go to zero, and if not, do we now how small they can decrease to?
118	what caused this island vortex in lake of the woods?
119	what's causing the strange ice behavior in this video?
120	why is it so difficult to make things look random?
121	can undersea cables undergo creep rupture?
122	why hitting the bottom of my coffee cup (and yours probably...) does this ?
123	so you are a red blood cell of an average human. how long does it take to visit every part of the human body?
124	do cows get bored?
125	is it possible that an elephant stepped on my foot without breaking it?
126	my mom always says "if women ran the world there would be no wars". from cleopatra to thatcher, how many female leaders have started wars and how does it compare to male leaders (in percent)?
127	does a steel bar resist bending until a certain amount of force is applied, or does all force bend it, however slightly?
128	occasionally we see plans to “bring back” extinct mammals like mammoths, but in reality they would be mammoth-elephant hybrids. would this method work with non-mammals like bringing back the moa using other ratites like the emu or ostrich?
129	there were once less than 30 california condors left. how does this affect the species, genetically?
130	why does the skull have indentations at the temples?
131	why doesn't air unmix?
132	alright science, morning wood... why?
133	can the amount of willpower/determination a human being has be linked to chemicals in the brain?
134	did the alleged discovery of metallic hydrogen in january 2017 turn out to be real?
135	how can phycists know the average lifetime of a proton?
136	what could be the cause of these surface patterns on mars?
137	in animals like octopuses and cuttlefish that die shortly after mating, what is it that kills them?
138	if capacitance increases as distance between plates decreases, why aren't there very small 1f capacitors?
139	is the recent italian cold fusion test bs?
140	why is it so hard (or impossible) to keep our hands steady?
141	when people are born with extra, functioning appendages, are they also born with unique brain regions for controlling them?
142	will an octopus die if one or two of it hearts stop ? and why ?
143	were henrietta lack's cells special?
144	how does salt damage concrete on a molecular level?
145	how did oliver heaviside predict cherenkov radiation in 1888-1889 before the discovery of subatomic particles (electrons, protons, neutrons, etc.)?
146	when i "start" two balls in a newton's cradle, why does it reflect with two balls on the other side instead of just the last ball with twice as much kinetic energy?
147	would a typical modern adult human who'd never seen or heard of a snake before instinctively know it was dangerous and which end to be worried about?
148	how common is prion resistance/immunity in humans?
149	my school's chem department threw this out, it was way too cool to trash so i took it. but what is it?
150	why do you start trembling/shaking if you haven’t eaten in a while?
151	how does your body produce keratin and what can you do to control the amount it produces?
152	how we know that how kreb cycle actually happens in the cell?
153	does a large magnetic field repel air?
154	what would the bottom of the crust and top of the mantle feel like?
155	superconductors are achieved by lowering the temperature of regular conductors, does that mean electrical and communication grids work better during winter?
156	now that a piece of wreckage from flight mh370 has been confirmed on réunion island, is it possible to use our understanding of direction and speed of currents in the indian ocean to narrow down where it likely crashed?
157	does cuddling with animals release oxytocin?
158	since i have never seen it, i'm assuming it cant be done properly. why do we not see people jumping out of airplanes with a super reinforced umbrella? basically mary poppins style? what would happen is someone could build such a contraption and actually tried the jump?
159	any topology experts care to explain why this doesn't produce a knot?
160	are you at greater risk of sunburn up on a mountain?
161	colleague's question about a tank of water moving at 0.5c?
162	why is air resistance proportionally squared to speed?
163	at what scale would the "hold my finger over the tip of a straw and pick up water" effect no longer work?
164	what organs use the most energy? is there a place i can see a ranking of organs by energy use?
165	yellowstone plateau is rising 0.6" per year. how do you detect and measure that rate of change?
166	since a day is about 23 hours and 56 minutes, how does this not cause clocks (that go on a 24 hour day) and the day to be out of sync?
167	are there any predators that hunt for sport rather than for food?
168	what happened to the global cooling scare of the 1980's?
169	do earthworms in a small-scale closed vermicompost system (a home worm-box) show physiological or behavioural adaptations to the specific types of waste added to the system?
170	how do obscure/rare sea creatures locate each other to breed?
171	at sea level, how much power is there in a 10,000 db shockwave?
172	why do scandinavian countries rate so high on politcal/economical metrics compared to the rest of the world? are there sacrifices made to this end?
173	if i were stabbed in the stomach, would it be a lot worse if i had just eaten?
174	do everest climbers carry water, if so how do they stop it freezing?
175	is saying "shh" an universal human behaviour for commanding silence, or does it vary from culture to culture?
176	which of the four fundamental forces is responsible for degeneracy pressure?
177	does sodium pentathol really work as a truth serum? and if so how?
178	how does speculative execution in cpus work?
179	why does compression clothing supposedly increase athletic performance?
180	why can't i cut a solid, and then stick the two pieces back together again?
181	there is a scene in the movie skyfall where the villain removes his upper jaw, exposing his scarred and almost destroyed face, and claims it was due to a hydrogen cyanide capsule. could hydrogen cyanide actually do that kind of damage? would the villain have even survived in reality?
182	what happens to our body when we train ourselves to hold our breathe for longer periods of time?
183	when donating a kidney, how do the rest of your organs react to the extra space?
184	if evidence of the higgs is released on tuesday and follow up observations prove its existence, will we finally have a theory of everything?
185	why does 100°c water feel so much hotter, more painful, and cause more damage than 177°c air?
186	is this app bullshit or not bullshit?
187	in what order were fundamental particles created?
188	was working at jimmy john's today when i customer came in and was severely allergic to cucumbers but could eat pickles, how's that possible?
189	questions about black-hole mergers?
190	why do most mandarins have 11 segments?
191	what exactly does a physicist mean when using the word information?
192	how do pockets of breathable air form in deep underwater caves?
193	if you placed a large gyroscope in a van, what would happen if someone tried to tow it?
194	does quantum mechanics really say there's a universe where elvis didn't die?
195	do cold sinks in survival shelters actually serve a purpose?
196	what does current look like on a quantum level?
197	if i were to take a "frame by frame" video of a hydrogen atom and its electron, whould i find the electron moving along a trajectory or teleporting randomly throughout the cloud?
198	what are the long-term physiological effects of heavy body building in pre-teen years?
199	when a tree engulfs a metal sign or fence, does the metal do any damage to the tree? i.e. is this process safe for the tree?
200	if electricity were to be passed through radon, would there be light?
201	what effects do muscle relaxants have on the heart, since it's also a muscle?
202	could a common household be more efficient, if it had a central dc power source?
203	is there an artificial satellite residing in a lagrange point between any of the two space bodies?
204	before being overweight was considered ugly, or taboo, or "uncool", did anorexia exist?
205	could someone help me identify this tool?
206	what is the smallest increment of time that's measureable?
207	why are some people flat-footed and what are the known disadvantages/advantages of this trait?
208	how can a sealed cave maintain enough energy to keep the organisms alive?
209	were superconductors theorised first or discovered?
210	does the event horizon vibrate?
211	when you cut solid matter in half, why can't you recombine it?
212	what is the current status on research around the millennium prize problems? which problem is most likely to be solved next?
213	is the lhc beam visible to the naked eye?
214	if i'm in a group of ten people taking turns guessing a number from one to ten, when would i be most likely to guess right?
215	did cannonballs spin and exhibit the magnus effect?
216	how does the body (or mind?) choose the best sleeping position?
217	to what extent do created genitalia from sexual reassignment surgery line up with the functions of those created in normal development?
218	are there visual anomalies that the human eye can see but wouldn't be seen on a picture taken?
219	is there an intuitive way to understand the gauss-bonnet theorem?
220	so how does the fundamental attribution error, and the social information processing model coexist together in psychology?
221	if water is shaken violently enough and for a long period of time, will its molecular structure begin to break down?
222	how do beavers coordinate construction?
223	how does the heart start beating in a human fetus?
224	does the discovery of gravitational waves falsify quantum mechanics?
225	if you keep halving a measurement, will you eventually get to zero, or will you continue to half infinitely?
226	how is the amount of semen expelled during ejaculation determined by our bodies?
227	can anyone explain what this phenomenon is and what causes it?
228	how accurate is "the origin of species" by charles darwin?
229	how did earlier scientists deduce the mass of the earth?
230	what is the significance of the successful energy modeling of an h2 molecule by a quantum computer?
231	can electrons experience the doppler effect?
232	is it likely that i have an atom in my body that once was inside one of my parents? can an atom stay in a family for generations?
233	why wasn't cassini damaged when it flew through the water plumes of enceladus?
234	if i take a tire made of perfectly vulcanized rubber and cut it with a scissors, did i just break disulfide bonds with a standard pair of kitchen shears?
235	how much is known about oarfish?
236	would you be able to walk on lava, or sink slightly?
237	are there leucistic humans? if so, why do we get mainly albino?
238	why do pens magically fail to work on some small areas of a piece of paper, yet work fine elsewhere on the same page?
239	how does the taylor series know that angles are measured in radians?
240	10 years ago, athletes making full recoveries from major ligament tears was virtually unheard of. today, it's par for the course (at least for the pros). what changed?
241	can someone please explain this unusual cloud pattern?
242	if genetic mutations in offspring are a 1 in a 10^8 shot, and 99% of the time they are detrimental, why does evolution seem so prominent considering these odds?
243	why do things prefer to be in the lowest energy state?
244	how do you study microbes that don't respond to lab cultures?
245	is it true that it's healthier to sleep on your left side?
246	could we railgun the moon?
247	what are some negative feedback mechanisms influencing global temperatures?
248	is the human jaw powerful enough to tear through flesh as easily as depicted in zombie shows/movies?
249	if i were the size of an atom, how long would it take to walk across the tip of a sewing needle?
250	why are cockpit alarms in aircraft usually a "c" chord?
251	if you have an infinite amount of things in each box, and an infinite amount of boxes. do you have more things than boxes?
252	how does drano unclog drains?
253	why do gps clocks gain 38 rather than 60 microseconds per day over clocks on the surface of the earth?
254	do sports like football/gymnastics affect skeletal growth?
255	i had my 14k gold wedding ring analyzed at work. can you guys tell me why the percentages do not reflect gold?
256	are there any forms of plasma we can touch with our bare hands?
257	why doesn't sand stick to players during olympic beach volleyball?
258	given two identical people, person a living on the equator, and person b living at a pole, how much longer does person a live due to relative time difference?
259	how do they test how the morning after pill works?
260	has the introduction of emojis into western language structures made our minds more capable of learning eastern pictorial languages?
261	is reinforced concrete able to function as a faraday cage? and if so does it make a building save of emps?
262	what are the negative effects of injecting blood intra-muscularly? or into any other part of the body?
263	why do we keep trying to find new heavy elements if they only snap into existence for milliseconds?
264	what are the habitable zones of hypergiant stars like?
265	why is there such a difference between the number of 66-year-olds and 67-year-olds in the us?
266	are uncertainty calculations faulty?
267	why do so many turtles ride on crocodiles?
268	how do wolves, and other social animals, deal with rabid individuals?
269	how does xenon bond?
270	pilot wave theory, a theory involving highly complex and non-linear differential equations, is fully equivalent to matrix mechanics, a theory involving only linear differential equations. does this have implications for our ability to solve non-linear differential equations?
271	i put some ant bait/poison down last night, and awoke to find a little pile of debris in its place. was this purposefully placed by the ants?
272	by how much is the earth's magnetic field decaying yearly?
273	i can't seem to find a definitive conclusion to the safety of genetically modified organisms for human consumption. can someone please clear out the fog?
274	question from my dad: is there a measurement scale for fluffiness?
275	why is evolutionary psychology frowned upon?
276	does neosporin actually heal cuts faster?
277	what is the actual science behind our estimate of the age of the earth? what is the tolerance and how was it arrived at?
278	cities are usually warmer than their surrounding areas. why doesn't their heat cause convection and carry smog away?
279	at what altitude above earth do the effects of special and general relativity cancel each other out?
280	when did people realize that a whip crack was breaking the sound barrier? what did people think was causing that sound before then?
281	why there are no blue people, green people, etc., when there are blue birds, green birds, etc.?
282	do astronauts - or any scientists - have a written protocol for dealing with extraterrestrials?
283	can anyone identify what this bright yellow substance is that appeared on my mulch?
284	today a glass exploded in my hand - why?
285	if electromagnetism has a 'speed' of c, do other fundamental forces have speeds as well?
286	do puzzles, traps, and the like actually exist in buried ruins and tombs?
287	why does electricity usually spread itself in a zig zag pattern when there's no concrete path to follow?
288	what is happening at cellular and tissue levels in “muscle knots”?
289	if two light waves of same wave length collided and canceled each others, what kind of energy would these light waves turn into?
290	is it possible to chemically counteract the substances released by the brain when it's in love?
291	how is the fatigue life of an airplane wing flexing during turbulence determined? how do they keep track of it?
292	what are fields made of ?
293	how come it's colder at 70,000ft than at 100,000ft?
294	can an ant see a tardigrade?
295	just as "red" in hundred meant "count", does the "ter" in close relatives (like father, mother, brother, sister) mean anything in old(er) english?
296	i just ran six miles in ~54 minutes. when did i consume the calories i burned during the run? yesterday? last week? or could it have been 10 years ago?
297	if you took 100 liters of water at 80 degrees and mixed it with 100 liters of water at 60 degrees, would you get 200 liters of 70 degree water?
298	the heisenberg uncertainty principle and quantum physics are interesting-- but how is it confirmed?
299	is the exhaust from an ion thruster hot, reactive, or radioactive? would it harm, say, a human hand?
300	derren brown's tv shows frequently show him putting people to sleep with just a few words and controlling their actions using minor suggestions. how much of this 'mind control' is actually possible?
301	possibly stupid question but how do we know some ancient civilisations believed in the afterlife vs writing about it for entertainment like we have for books/movies?
302	why are there so many fundamental constants in the universe and what fixed their values?
303	what's the biological basis behind 'cooling down' in exercise?
304	why do we freeze for a split second when something startles us or makes us jump?
305	japan invented a camera that films 4.4 trillion frames/second (link in description). does that mean their camera take a picture of light midway through the room?
306	why is quartz so useful in clocks and watches?
307	does stomach acid just sit in a pool at the bottom of your stomach? on the iss, does it form a bubble?
308	would it be possible to build a large double slit experiment to examine the behavior of gravitational waves? if so, would that be proof that gravitons exist?
309	scallops, oysters, mussels and clams apparently have between 40 and 200 eyes. why?
310	what exactly is the navier-stokes millennium problem trying to solve?
311	are glaciers moving non-stop or is the movement staggered?
312	does the fuse of a bundle of tnt set off all of the sticks at once, or does it trigger one stick which explodes, causing the others to explode?
313	what has changed in darwin's theory since the publication of the origin of species?
314	how are there fish in a completely isolated body of water?
315	do migratory animals born in captivity exhibit migratory instincts?
316	what causes the 'blind spot' of observable galaxies?
317	magnets mess up electronics. but how precisely?
318	are some 3d curves (such as paraboloids, spheres, etc.) 3d "sections" of 4d "cones", the way 2d curves (parabolas, circles, etc.) are sections of 3d cones?
319	what has been the cause of this abnormally mild summer?
320	are there extinct subatomic particles?
321	is it true that giant mushrooms existed?
322	is it possible to get two or more different "colds" at the same time?
323	does the law of conservation of energy hold on cosmological timescales?
324	how big would a cube of lead have to be for it to be unable to hold its shape?
325	why can't the great barrier reef be repopulated?
326	when an electrical flow is traveling down a metal wire, what is going on at the atomic level?
327	if time slows the closer to the speed of light someone travels, what is the effect on an airline pilot over the course of their career?
328	what is actually happening when we feel our heart/stomach drop?
329	what affect does the quantity of injuries have on healing time? for example, would a paper cut take longer to heal if i had a broken jaw at the same time?
330	mathematically, how would i prove that (ab)/(cd) = (a/c)(b/d)?
331	if the nervous system operates on electrical current, is it a/c or d/c?
332	at what age do orangutans grow their facial flanges, and how long do they take to grow?
333	is there any dark matter in my room right now?
334	why do matches stick to a magnet after being burnt, but not before?
335	is there a limit to how many calories the human body can absorb in one sitting?
336	how much adrenaline is released by our adrenal glands in an "adrenaline rush", compared to the dose administered in an epi-pen?
337	how are/were tribal societies in places like the arctic able to survive without fruits and vegetables? why don't/didn't they all have scurvy or protein poisoning?
338	how does electricity know what the shortest path is to its destination?
339	how do oases exist inside the sahara (or other deserts) and do they come and go?
340	what is the significance of mochizuki's abc conjecture?
341	what are the large voltages described in particle accelerators measured against?
342	what makes some contact lenses able to be used for a year, and others last for only months or a day?
343	how come your heart muscles don't experience fatigue like other muscles?
344	how fast would one need to accelerate a container of air to make it bunch up to one side, creating a vacuum on the other?
345	how is it possible for humans living in the iss (international space station) to differentiate night from day? is the iss trajectory/speed synced with the earth's orbit? do we even talk about day and night? work time and nighttime?
346	is 2° twice as cold as 4°?
347	why are hail storms so short?
348	do blind people experience the ganzfeld effect?
349	what’s the fastest spinning man made object? what’s the fastest spinning natural object?
350	does the ice sheet of antarctica have a "bottle cap effect" on the recently discovered volcanoes underneath?
351	with our current technology, what is the furthest possible exoplanet we could detect to have chlorophyll?
352	why is 2^1024 the limit of so many web calculators?
353	what do people living on space stations actually do all day?
354	a coin of unknown fairness is tossed n times. it results in h heads. what can you tell me about the coin?
355	desiccated spruce branches will curl up or down depending on weather conditions, and have been used as artisanal weather predictors in eastern north america. what particular properties does the structure of spruce branches have which makes them behave in the way they do?
356	why does a 5 cent euro attract a 1 cent euro above a magnet?
357	what's the reason behind starting naming of electron shells from k, why not from any other letter?
358	a common "lifehack" is to wrap a beverage in wet paper towel before putting it in the freezer to chill it rapidly. how efficient is this really, and why does it work?
359	can elephants breath through their mouth ?
360	is the cell we each started off as still part of our body when we're born? if so, what part of the body is it in?
361	when i put on someone else's glasses, am i actually seeing, "what they see without glasses" or is that just a fictional notion?
362	is there any truth to native americans being less tolrant to alcohol?
363	why do colors affect this optical illusion?
364	if i were stranded in space, could i propel myself throwing rocks?
365	is time just the way we measure how long gravity is taking to pull us toward whatever it is pulling us towards?
366	did anyone ever figure out what caused the massive bird and fish deaths last year?
367	what makes prions so lethal, and mysterious?
368	if north america converted to 240v electrical systems like other parts of the world, would we see dramatic energy efficiency improvements?
369	why does plank length "exist?" why is there a lower bound to the amount of distance that can be measured? why can't we measure a shorter distance?
370	are we all technically related?
371	why is my paintball bruise a ring with an undamaged center?
372	if lightening usually strikes the highest point, do ships out to sea get struck often?
373	how do we know that massless particles really are massless, and don't just have masses far too small for us to detect?
374	is there a pattern in the mersenne primes?
375	how does a computer network like hbo's handle the massive output of data for short bursts of time, like a got episode?
376	when looking at text through a wine-glass filled with water, why are the text both reversed and upside down?
377	what happens to the vein/artery that connects to the 'belly button'?
378	do snakes preferentially bend to the left or to the right when forming loops?
379	is there an optimal angle when dragging an object across the ground?
380	how are combined vaccinations established? who decided to group measles, mumps, and rubella, for example, into one syringe, how do they decide, and why does it still work?
381	how much language, if we are using gigabytes as the form of measurement, does a child have to be exposed to before they understand the word "mom" enough to use it correctly?
382	when the gigantic 19th and early 20th century bridges were built were they considered ridiculously oversized? how long are they expected to stand?
383	how are there skeletons left over after a volcano eruption buries a town in molten lava? wouldn't the lava be hot enough to disintegrate bone matter?
384	how much does shivering affect core body temperature when cold?
385	are there rogue stars in the universe, similar to how there are rogue planets?
386	scenario: a brother and sister are the last two humans on earth. question: would they eventually be able to successfully repopulate the earth, without genetic defects?
387	how are some if not of all us able to feel the stares of people?
388	when you train yourself to hold your breath longer, what exactly is it that you improve?
389	it is being reported quite widely here in the uk that british astronaut major tim peak has taken some tea with him to iss. how would he go about boiling his water and making his brew in zero gravity?
390	what's happening if, during a storm, my power goes out for a few seconds?
391	what’s actually happening when power goes out and comes back on after a few seconds during a storm?
392	what is energy?
393	when they say that cern achieved a heat record of ~5 trillion degrees, what does that actually mean/do?
394	can we be sure the laws of physics hold everywhere in the universe?
395	is it possible that that big bangs are happening all the time, but really far away from each other?
396	does the change in an electron’s wave function and probability density function happen instantaneously when it changes energy state?
397	are women who put eyeliner on the waterline of their eyes potentially doing long-term damage to their eyes?
398	how did a fallen high voltage power line create carbon monoxide in my soil which then leaked in to my house?
399	what is quantum "spookiness"?
400	can you orbit a torus by moving in a figure-eight, through the center?
401	how does the mauna loa observatory manage to get accurate representative co2 readings for earth's atmosphere when it's in such a close proximity to multiple volcanoes?
402	why do cats like to knock things off of count tops and tables?
403	why do hospitals have heart clinics specifically for women? aren't all hearts the same?
404	how can maggots eat rotting flesh and not suffer from the microorganisms present?
405	as voyager leaves the solar system, is there any chance it could still be carrying active biological contaminants?
406	“zoning out” that can occur where you’ve read text, but you weren’t paying attention – state of inattentiveness called something? is there a certain brain process that occurs?
407	what is kinesio tape (that all the olympic athletes are using) supposed to help with, exactly?
408	if charged particles that are stationary are electric, those that move uniformly are magnetic, and those that accelerate emit radiation, what happens with those that jerk or snap?
409	how long does it take, on average, for a human to develop scurvy due to a total lack of vitamin c?
410	how is it i can hear a crowd from afar?
411	why do some welders use diffrent "fillers"?
412	on aircraft that crash in water why are their black boxes kept in water after found?
413	what is the matchstick's head made up of ? and how does the chemical reaction proceed in lighting the match ?
414	where did the "2" in the schwarzchild radius equation for black holes come from?
415	i've been told that knots only work in three dimensions, but that's never been clear to me. does that mean you cannot use a 3-d rope to tie a knot in 4-space (which makes sense, as it can slip through itself), or even if you used a 4-d "rope", would you still not be able to make a knot in 4-space?
416	many antipsychotics have blurred vision as a side effect. why/how does this happen?
417	how does pcp give humans such great strength?
418	if monkeys are our closest relative, what is our most distant relative? is there even any way to figure that out?
419	when i bleed, why isn't my blood at 98.6 degf?
420	why is it so difficult to find a unifying theory in physics and why is it necessary? can't it all work separately?
421	what is going on with these "nasa warp drive" articles?
422	the gunpowder plot involved 36 barrels of gunpowder in an undercroft below the house of lords. just how big an explosion would 36 barrels of 1605 gunpowder have created, had they gone off?
423	why is it when i am trying to fall asleep, flipping from side to side seems to have a calming, yawn like effect?
424	existence of a triple point?
425	are the insect specimen's trapped inside amber hard or soft?
426	what causes triboluminescence, where sparks appear when glass or hardened sugar for example is shattered?
427	why does the discovery of this lqg (large quasar group) which is 4 billion light years wide, seem to threaten einstein's cosmological principle?
428	on a cellular level, what's the difference between tough skin like what's on the souls of our feet, and more sensitive/fragile skin like our lips, eyelids or...other bits?
429	there are more atoms in a drop of water than there are drops of water in all the worlds oceans. is it true or false?
430	at a molecular level what does an object being airtight imply?
431	if you painted something "true black" (i.e. absorbs all light) would you only be able to see the object in silhouette?
432	what is it that makes the group 1 elements more reactive the further down the group you go?
433	is it possible to choose a wedding date that has the highest probability of me actually being there?
434	why can't we tell the sex of dinosaurs yet?
435	how do i know the exact pace to stay on a treadmill?
436	if michael phelps started at the bottom of a pool, could he swim upwards with enough force to propel himself completely out of the water like a whale?
437	if the lepton anomalies (electron/tau/muon production rates) hold true, what happens next?
438	is it theoretically possible for a planet to be in the habitable zone of a quasar?
439	is there literally zero resistance in superconductors or is it just miniscule or neglectable (like stuff normally is in real-life as opposed to theory)?
440	does human eyesight lie on a bell curve or can all people see equally well unless defective?
441	why does space-x use a suicide burn for its reuseable boosters rather than parachutes?
